# Порядок вычитки: сверху вниз. Первая порция — самые частые слова.
порция	язык	слов	первое	последнее	частота_первого	частота_последнего	с_подсказкой	файл
ru-089	русская	200	пукнул	вдохов	228	200	7	docs/review-batches/ru/ru-089.tsv
ru-090	русская	200	звездное	проедешь	200	179	8	docs/review-batches/ru/ru-090.tsv
ru-091	русская	200	прокатил	обжёг	179	157	9	docs/review-batches/ru/ru-091.tsv
ru-092	русская	200	отпрыска	редьки	157	121	15	docs/review-batches/ru/ru-092.tsv
ru-093	русская	200	ясном	сгорим	121	219	7	docs/review-batches/ru/ru-093.tsv
ru-094	русская	200	спихнуть	очаровывать	219	192	10	docs/review-batches/ru/ru-094.tsv
ru-095	русская	200	построже	амнезию	192	171	8	docs/review-batches/ru/ru-095.tsv
ru-096	русская	200	диетой	жреца	171	148	5	docs/review-batches/ru/ru-096.tsv
ru-097	русская	200	ломайся	заточена	148	105	13	docs/review-batches/ru/ru-097.tsv
ru-098	русская	200	унаследуешь	позабавиться	105	215	10	docs/review-batches/ru/ru-098.tsv
ru-099	русская	200	появимся	застенчивой	215	189	5	docs/review-batches/ru/ru-099.tsv
ru-100	русская	200	кукурузного	рассуждаете	189	170	7	docs/review-batches/ru/ru-100.tsv
ru-101	русская	200	скрижали	хитрожопый	170	154	9	docs/review-batches/ru/ru-101.tsv
ru-102	русская	200	гадаешь	выкрутишься	153	131	3	docs/review-batches/ru/ru-102.tsv
ru-103	русская	200	доносятся	засомневался	131	236	6	docs/review-batches/ru/ru-103.tsv
ru-104	русская	200	расческу	туфельку	235	199	7	docs/review-batches/ru/ru-104.tsv
ru-105	русская	200	элегантной	подбираешь	199	177	10	docs/review-batches/ru/ru-105.tsv
ru-106	русская	200	раптор	деточки	177	161	6	docs/review-batches/ru/ru-106.tsv
ru-107	русская	200	дурочки	краденные	161	145	9	docs/review-batches/ru/ru-107.tsv
ru-108	русская	200	мальчонку	троечку	145	124	11	docs/review-batches/ru/ru-108.tsv
ru-109	русская	200	бревном	производишь	123	230	6	docs/review-batches/ru/ru-109.tsv
ru-110	русская	200	доведи	отнесешься	229	188	7	docs/review-batches/ru/ru-110.tsv
ru-111	русская	200	пялитесь	доделаем	188	169	7	docs/review-batches/ru/ru-111.tsv
ru-112	русская	200	задумчивый	юны	169	156	5	docs/review-batches/ru/ru-112.tsv
ru-113	русская	200	активировала	софитов	155	143	10	docs/review-batches/ru/ru-113.tsv
ru-114	русская	200	сфоткаю	запечатано	143	128	9	docs/review-batches/ru/ru-114.tsv
ru-115	русская	200	надоедливых	невменяемость	128	111	10	docs/review-batches/ru/ru-115.tsv
ru-116	русская	200	подмигивает	выплюнул	111	197	7	docs/review-batches/ru/ru-116.tsv
ru-117	русская	200	жалком	звёздах	197	173	11	docs/review-batches/ru/ru-117.tsv
ru-118	русская	200	медовые	зебр	173	158	15	docs/review-batches/ru/ru-118.tsv
ru-119	русская	200	крохотное	распланировал	158	145	6	docs/review-batches/ru/ru-119.tsv
ru-120	русская	200	ржешь	тарелочке	145	134	8	docs/review-batches/ru/ru-120.tsv
ru-121	русская	200	токсикоз	мстителем	134	122	10	docs/review-batches/ru/ru-121.tsv
ru-122	русская	200	мучительных	невежественные	122	107	10	docs/review-batches/ru/ru-122.tsv
ru-123	русская	200	обоюдное	наебал	107	187	10	docs/review-batches/ru/ru-123.tsv
ru-124	русская	200	накоплю	твори	187	167	8	docs/review-batches/ru/ru-124.tsv
ru-125	русская	200	абсурдная	дрожа	166	152	9	docs/review-batches/ru/ru-125.tsv
ru-126	русская	200	нарывается	расстаешься	152	140	8	docs/review-batches/ru/ru-126.tsv
ru-127	русская	200	ромуланцев	клерков	140	130	8	docs/review-batches/ru/ru-127.tsv
ru-128	русская	200	мыльную	стаканами	130	120	8	docs/review-batches/ru/ru-128.tsv
ru-129	русская	200	фонтанчик	штучкам	120	110	8	docs/review-batches/ru/ru-129.tsv
ru-130	русская	200	веточку	зажигаю	109	192	8	docs/review-batches/ru/ru-130.tsv
ru-131	русская	200	отрасти	барышне	192	164	11	docs/review-batches/ru/ru-131.tsv
ru-132	русская	200	капюшона	мозгоправу	164	150	15	docs/review-batches/ru/ru-132.tsv
ru-133	русская	200	оком	афтепати	150	139	7	docs/review-batches/ru/ru-133.tsv
ru-134	русская	200	задолбался	штанишках	139	131	8	docs/review-batches/ru/ru-134.tsv
ru-135	русская	200	вставляем	бычки	130	121	6	docs/review-batches/ru/ru-135.tsv
ru-136	русская	200	впадаешь	визиток	121	113	10	docs/review-batches/ru/ru-136.tsv
ru-137	русская	200	выдерну	вторгаюсь	113	104	8	docs/review-batches/ru/ru-137.tsv
ru-138	русская	200	жената	соблюдаешь	104	172	9	docs/review-batches/ru/ru-138.tsv
ru-139	русская	200	таймлайн	поспешишь	172	153	9	docs/review-batches/ru/ru-139.tsv
ru-140	русская	200	придумывая	сексуальностью	153	140	5	docs/review-batches/ru/ru-140.tsv
ru-141	русская	200	сочным	козьего	140	130	9	docs/review-batches/ru/ru-141.tsv
ru-142	русская	200	ничье	плодородная	130	123	11	docs/review-batches/ru/ru-142.tsv
ru-143	русская	200	попрошаек	нагнулся	123	115	7	docs/review-batches/ru/ru-143.tsv
ru-144	русская	200	неоспоримо	ноткой	115	108	12	docs/review-batches/ru/ru-144.tsv
ru-145	русская	200	отвёрткой	роботе	108	183	6	docs/review-batches/ru/ru-145.tsv
ru-146	русская	200	хвалиться	андроидов	183	153	6	docs/review-batches/ru/ru-146.tsv
ru-147	русская	200	безоружны	сбагрить	153	140	9	docs/review-batches/ru/ru-147.tsv
ru-148	русская	200	свежи	фрейлейн	140	130	5	docs/review-batches/ru/ru-148.tsv
