# ОТКЛОНЕНО машинной приёмкой. Миссия tt-dict-accept, отчёт — docs/DICT-ACCEPT.md.
# Ручной вычитки не было и не будет: оператор 2026-08-24 заменил её машинным правилом.
#
# ПРАВИЛО: слово принимается, если его подтверждает второй независимый источник
# и регистровая улика не выдаёт в нём имя собственное (cap_ratio < 0.50).
#   two-corpora      — встречается и в OpenSubtitles, и в Tatoeba
#   shipped-word     — уже стоит в поставляемом словаре (в очереди таких нет по построению)
#   shipped-paradigm — русский: основа стоит в поставляемом словаре ещё в >= 3 формах
#   single-source    — подтверждения нет: один корпус и ничего больше
#   proper-noun-evidence — >= 0.50 вхождений с заглавной буквы не в начале строки
#
# Колонки — те же, что в очереди, плюс rule и rule_detail. Отклонённые НЕ удалены: изменить
# правило и перезапустить `python3 scripts/dict_accept.py select` — одна команда.
word	heldout_hits	train_freq	train_freq_clean	sources	license_status	cap_ratio	enters_top100k	rule	rule_detail
уйнама	2	3	3	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
упс	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
уятыгыз	2	3	3	Tatoeba	clean:CC-BY-2.0-FR	0.00	no	single-source	Tatoeba
ышандыңмы	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
җитештем	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
үтерәсез	2	3	0	OpenSubtitles	risk-accepted:no-grant	0.00	no	single-source	OpenSubtitles
анджелеста	1	26	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
чыкмыйчак	1	22	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
фу	1	19	0	OpenSubtitles	risk-accepted:no-grant	0.33	yes	single-source	OpenSubtitles
әх	1	19	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
бункерда	1	18	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
коткарам	1	18	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
вуду	1	17	0	OpenSubtitles	risk-accepted:no-grant	0.27	yes	single-source	OpenSubtitles
нишләгәнеңне	1	16	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
алмыйчаксың	1	15	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
сикер	1	15	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
алмыйчакмын	1	14	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
джунглидан	1	14	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
качтың	1	14	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
көчән	1	13	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
салга	1	13	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
кун	1	12	0	OpenSubtitles	risk-accepted:no-grant	0.00	yes	single-source	OpenSubtitles
